Champion,Lane,Games Played,Pick Rate ,Ban Rate,Pick/Ban Rate,Win Rate,Average KDA
Aatrox,Top,61,46.20%,42.40%,91.70%,57.40%,2.8
Ahri,Middle,1,0.80%,1.50%,2.30%,100.00%,13
Akali,Middle,18,13.60%,43.90%,65.90%,66.70%,4.7
Alistar,Support,7,5.30%,6.80%,12.10%,28.60%,2.4
Anivia,Middle,4,3.00%,4.50%,7.60%,75.00%,4.1
Ashe,ADC,3,2.30%,0.00%,2.30%,66.70%,6
Azir,Middle,32,24.20%,37.10%,63.60%,43.80%,3.2
Bard,Support,3,2.30%,0.00%,2.30%,33.30%,2.2
Braum,Support,29,22.00%,7.60%,29.50%,55.20%,3.7
Camille,Top,5,3.80%,12.90%,16.70%,80.00%,4.9
Cassiopeia,Middle,3,2.30%,2.30%,6.10%,33.30%,1.9
Corki,Middle,38,28.80%,26.50%,55.30%,44.70%,4.4
Diana,Middle,1,0.80%,1.50%,2.30%,0.00%,0.5
Draven,ADC,7,5.30%,6.10%,11.40%,28.60%,4.3
Elise,Jungle,8,6.10%,5.30%,11.40%,25.00%,1.6
Ezreal,ADC,38,28.80%,17.40%,46.20%,57.90%,5
Fiora,Top,1,0.80%,1.50%,2.30%,0.00%,0.5
Galio,Support,3,2.30%,0.80%,3.00%,66.70%,4
Gangplank,Top,26,19.70%,22.70%,43.20%,50.00%,3.4
Gnar,Top,4,3.00%,0.00%,3.00%,75.00%,4.8
Gragas,Jungle,21,15.90%,12.90%,29.50%,61.90%,3.9
Hecarim,Jungle,4,3.00%,3.00%,6.10%,75.00%,2.9
Irelia,Middle,15,11.40%,62.10%,84.10%,66.70%,3.3
Jarvan IV,Jungle,56,42.40%,18.90%,62.90%,41.10%,2.9
Jax,Top,2,1.50%,1.50%,3.00%,50.00%,3
Jayce,Top,22,16.70%,21.20%,40.20%,63.60%,2.8
Jinx,ADC,3,2.30%,0.00%,2.30%,66.70%,12
Kai'Sa,ADC,27,20.50%,9.10%,29.50%,63.00%,6.6
Karma,Top,9,6.80%,46.20%,58.30%,44.40%,3.2
Karthus,Jungle,2,1.50%,2.30%,4.50%,0.00%,3
Kennen,Top,17,12.90%,12.90%,25.80%,52.90%,2.6
Kled,Top,8,6.10%,2.30%,8.30%,50.00%,3.4
Kog'Maw,ADC,1,0.80%,0.00%,0.80%,100.00%,14
LeBlanc,Middle,5,3.80%,15.20%,18.90%,60.00%,5.1
Lee Sin,Jungle,7,5.30%,2.30%,7.60%,28.60%,2.4
Leona,Support,5,3.80%,0.80%,4.50%,60.00%,2.6
Lissandra,Middle,2,1.50%,0.80%,2.30%,50.00%,2.1
Lucian,ADC,12,9.10%,2.30%,12.90%,50.00%,2.5
Lux,Support,27,20.50%,7.60%,31.10%,70.40%,6
Malphite,Top,1,0.80%,0.00%,0.80%,0.00%,2.5
Morgana,Support,9,6.80%,9.80%,17.40%,55.60%,4.7
Nami,Support,1,0.80%,0.00%,0.80%,100.00%,11
Nautilus,Support,42,31.80%,8.30%,40.20%,38.10%,1.9
Neeko,Top,8,6.10%,9.80%,19.70%,37.50%,2.7
Nocturne,Jungle,2,1.50%,0.80%,2.30%,50.00%,2.1
Nunu,Jungle,1,0.80%,0.00%,0.80%,100.00%,13
Olaf,Jungle,9,6.80%,18.20%,25.00%,55.60%,3
Orianna,Middle,7,5.30%,1.50%,7.60%,42.90%,4.6
Ornn,Top,2,1.50%,0.80%,2.30%,0.00%,2
Pantheon,Top,1,0.80%,0.00%,0.80%,0.00%,2
Poppy,Top,12,9.10%,6.10%,15.20%,50.00%,3.8
Pyke,Support,4,3.00%,0.80%,6.10%,50.00%,1.7
Qiyana,Middle,14,10.60%,22.70%,33.30%,71.40%,4.5
Rakan,Support,52,39.40%,18.20%,57.60%,48.10%,4.2
Rek'Sai,Jungle,19,14.40%,4.50%,18.90%,52.60%,4
Renekton,Top,10,7.60%,3.00%,12.10%,40.00%,2.1
Riven,Top,3,2.30%,6.10%,9.10%,66.70%,7.3
Rumble,Top,16,12.10%,32.60%,45.50%,50.00%,3
Ryze,Middle,8,6.10%,15.90%,23.50%,12.50%,1.5
Sejuani,Jungle,61,46.20%,40.90%,87.10%,44.30%,3.5
Shen,Top,1,0.80%,0.00%,0.80%,100.00%,17
Sivir,ADC,51,38.60%,17.40%,56.10%,43.10%,4.7
Skarner,Jungle,35,26.50%,20.50%,47.00%,71.40%,3.8
Sona,ADC,16,12.10%,53.80%,65.90%,62.50%,4.5
Sylas,Middle,25,18.90%,40.20%,75.00%,56.00%,3.6
Syndra,Middle,9,6.80%,3.80%,12.10%,44.40%,3.2
Tahm Kench,Support,40,30.30%,16.70%,47.00%,37.50%,2.3
Taliyah,Middle,4,3.00%,0.80%,3.80%,50.00%,2
Talon,Middle,1,0.80%,0.00%,0.80%,0.00%,1
Taric,Support,7,5.30%,5.30%,10.60%,71.40%,7.4
Thresh,Support,10,7.60%,3.00%,10.60%,50.00%,4.2
Tristana,Top,4,3.00%,3.00%,9.80%,25.00%,2.5
Trundle,Jungle,15,11.40%,5.30%,16.70%,73.30%,5.5
Twisted Fate,Middle,11,8.30%,15.20%,24.20%,63.60%,3.5
Varus,ADC,16,12.10%,6.10%,18.20%,31.30%,2.7
Vayne,ADC,1,0.80%,0.00%,0.80%,0.00%,1.3
Veigar,Middle,3,2.30%,1.50%,4.50%,33.30%,4.3
Vel'Koz,Middle,4,3.00%,2.30%,5.30%,50.00%,4.4
Vi,Jungle,1,0.80%,0.80%,1.50%,0.00%,1.6
Viktor,Middle,6,4.50%,4.50%,11.40%,83.30%,5.1
Vladimir,Middle,6,4.50%,4.50%,12.10%,50.00%,2.4
Volibear,Top,1,0.80%,0.00%,0.80%,100.00%,11
Xayah,ADC,63,47.70%,16.70%,64.40%,42.90%,4.1
Xin Zhao,Jungle,5,3.80%,0.80%,4.50%,60.00%,3.1
Yasuo,Middle,5,3.80%,9.80%,14.40%,60.00%,3.3
Yuumi,Support,18,13.60%,85.60%,99.20%,72.20%,10
